rabbits,height, prec, temp, month, year
2,1,10.160000,14.233356,-0.727270
3,1,5.080000,13.256111,11.416690
2,1,0.000000,16.402004,15.606927
1,1,23.921389,17.862776,17.629712
2,1,69.329271,14.165686,25.324885
3,1,102.314336,13.271338,23.521368
4,1,97.000009,10.306383,23.438233
5,1,93.306747,8.282932,23.898977
6,1,86.526191,7.535973,21.601872
7,1,75.126674,9.993418,9.999665
8,1,67.579315,7.776548,11.688124
9,1,63.174099,12.054556,8.403990
10,1,61.555991,16.621578,12.837986
11,1,45.483372,17.777853,11.172121
12,1,54.876825,17.303108,23.196695
13,1,48.029375,16.280487,27.994830
14,1,21.878606,14.928303,26.792861
13,1,0.000000,9.279138,21.391640
12,1,0.000000,9.208113,27.789052
11,1,0.000000,6.678980,19.533619
10,1,0.000000,8.414058,17.161681
9,1,0.000000,9.646575,9.134191
8,1,11.342149,14.968582,6.267509
7,1,2.071749,13.899692,9.047521
6,1,0.000000,16.855579,15.437351
5,1,0.000000,17.463140,23.608059
4,1,34.100806,15.072064,26.340955
5,1,29.453512,13.749618,26.062236
6,1,17.912419,12.752119,25.686073
7,1,4.092370,8.075066,22.124825
6,1,0.000000,8.057731,23.750992
5,1,0.000000,6.436296,9.926908
4,1,0.000000,9.554466,5.803443
3,1,0.110893,14.919291,4.010141
2,1,0.000000,14.832394,5.863959
1,1,0.000000,15.914967,11.611231
0,1,0.000000,16.568649,12.990879
0,1,29.581700,15.388775,25.476286
1,1,68.010364,12.908123,27.126346
2,1,67.524328,10.807923,27.434951
3,1,63.100165,8.307014,25.565605
4,1,55.954288,9.856022,19.631721
5,1,47.223726,9.620081,12.034738
6,1,59.497865,10.617883,8.042124
7,1,72.320082,11.811750,4.681810
8,1,61.815311,16.006668,5.601563
9,1,42.545625,15.497125,18.103621
10,1,21.654323,14.645362,20.582161
9,1,36.504768,14.514373,25.804689
10,1,35.955959,13.063433,25.121273
11,1,12.241019,11.173324,30.603002
10,1,0.000000,9.337816,20.498127
9,1,0.000000,9.268978,15.462663
8,1,0.000000,9.011766,15.501094
7,1,20.280937,7.595488,10.524584
7,1,42.106732,13.607295,7.703154
8,1,39.171582,14.676093,10.319057
9,1,25.731201,15.972397,11.466548
10,1,23.669844,16.954216,17.825105
9,1,26.694737,16.684065,19.187359
10,1,43.233504,13.310518,21.554332
11,1,48.663817,11.099190,23.267322
12,1,36.479765,10.013491,22.092692
13,1,12.799461,9.175263,15.721183
12,1,0.000000,8.948933,13.407866
11,1,9.734464,10.808147,12.361556
